,character,IPA_segment,,Rep,NO
1,湾,[uan],GVN,9,232
2,贪,[tʰan],CVN,5,123
3,刚,[kaŋ],CVN,6,156
4,瓜,[kwa],CGV,1,4
5,桑,[saŋ],CVN,1,24
6,般,[pan],CVN,5,119
7,瓜,[kwa],CGV,9,220
8,贪,[tʰan],CVN,1,15
9,椰,[je],GV,3,56
10,丹,[tan],CVN,3,67
11,汪,[waŋ],GVN,9,235
12,编,[pjan],CGVN,2,37
13,箱,[ɕiɑŋ],CGVN,3,77
14,丹,[tan],CVN,6,148
15,般,[pan],CVN,8,200
16,天,[tʰjan],CGVN,10,257
17,烟,[jan],GVN,4,90
18,桑,[saŋ],CVN,5,132
19,颠,[tjan],CGVN,7,174
20,烟,[jan],GVN,2,36
21,箱,[ɕiɑŋ],CGVN,2,50
22,椰,[je],GV,7,164
23,颠,[tjan],CGVN,4,93
24,椰,[je],GV,6,137
25,刚,[kaŋ],CVN,3,75
26,刚,[kaŋ],CVN,8,210
27,森,[ən],CVN,9,243
28,编,[pjan],CGVN,4,91
29,瓜,[kwa],CGV,2,31
30,烟,[jan],GVN,10,252
31,箱,[ɕiɑŋ],CGVN,7,185
32,森,[ən],CVN,10,270
33,鸭,[ja] ,GV,2,28
34,椰,[je],GV,4,83
35,编,[pjan],CGVN,9,226
36,咖,[ka],CV,3,59
37,天,[tʰjan],CGVN,9,230
38,桑,[saŋ],CVN,10,267
39,干,[kan],CVN,2,45
40,椰,[je],GV,8,191
41,贪,[tʰan],CVN,9,231
42,烟,[jan],GVN,6,144
43,刚,[kaŋ],CVN,7,183
44,天,[tʰjan],CGVN,1,14
45,咖,[ka],CV,8,194
46,央,[iɑŋ],GVN,1,22
47,编,[pjan],CGVN,1,10
48,光,[kwaŋ],CGVN,2,47
49,湾,[uan],GVN,7,178
50,鸭,[ja] ,GV,5,109
51,窝,[wo],GV,10,249
52,丹,[tan],CVN,10,256
53,干,[kan],CVN,5,126
54,央,[iɑŋ],GVN,10,265
55,椰,[je],GV,5,110
56,森,[ən],CVN,1,27
57,央,[iɑŋ],GVN,5,130
58,锅,[kwo],CGV,4,88
59,森,[ən],CVN,8,216
60,汪,[waŋ],GVN,5,127
61,编,[pjan],CGVN,5,118
62,刚,[kaŋ],CVN,9,237
63,湾,[uan],GVN,6,151
64,哥,[kɤ],CV,7,170
65,干,[kan],CVN,4,99
66,颠,[tjan],CGVN,6,147
67,干,[kan],CVN,3,72
68,窝,[wo],GV,2,33
69,咖,[ka],CV,7,167
70,窝,[wo],GV,7,168
71,干,[kan],CVN,6,153
72,湾,[uan],GVN,2,43
73,箱,[ɕiɑŋ],CGVN,4,104
74,温,[wən],GVN,3,79
75,关,[kwan],CGVN,7,179
76,光,[kwaŋ],CGVN,9,236
77,咖,[ka],CV,1,5
78,湾,[uan],GVN,5,124
79,哥,[kɤ],CV,9,224
80,烟,[jan],GVN,7,171
81,窝,[wo],GV,1,6
82,温,[wən],GVN,9,241
83,光,[kwaŋ],CGVN,7,182
84,温,[wən],GVN,8,214
85,孙,[wən],CGVN,4,107
86,刚,[kaŋ],CVN,4,102
87,锅,[kwo],CGV,5,115
88,光,[kwaŋ],CGVN,8,209
89,挖,[wa],GV,10,246
90,箱,[ɕiɑŋ],CGVN,9,239
91,光,[kwaŋ],CGVN,1,20
92,孙,[wən],CGVN,5,134
93,咖,[ka],CV,9,221
94,编,[pjan],CGVN,7,172
95,干,[kan],CVN,7,180
96,锅,[kwo],CGV,7,169
97,温,[wən],GVN,6,160
98,锅,[kwo],CGV,8,196
99,桑,[saŋ],CVN,2,51
100,光,[kwaŋ],CGVN,4,101
101,温,[wən],GVN,10,268
102,汪,[waŋ],GVN,3,73
103,挖,[wa],GV,9,219
104,孙,[wən],CGVN,2,53
105,烟,[jan],GVN,3,63
106,汪,[waŋ],GVN,1,19
107,鸭,[ja] ,GV,4,82
108,咖,[ka],CV,5,113
109,编,[pjan],CGVN,6,145
110,锅,[kwo],CGV,10,250
111,挖,[wa],GV,7,165
112,咖,[ka],CV,4,86
113,哥,[kɤ],CV,8,197
114,央,[iɑŋ],GVN,7,184
115,天,[tʰjan],CGVN,8,203
116,椰,[je],GV,2,29
117,椰,[je],GV,1,2
118,丹,[tan],CVN,1,13
119,贪,[tʰan],CVN,3,69
120,央,[iɑŋ],GVN,3,76
121,光,[kwaŋ],CGVN,6,155
122,哥,[kɤ],CV,5,116
123,天,[tʰjan],CGVN,6,149
124,森,[ən],CVN,2,54
125,箱,[ɕiɑŋ],CGVN,5,131
126,孙,[wən],CGVN,9,242
127,光,[kwaŋ],CGVN,3,74
128,关,[kwan],CGVN,2,44
129,颠,[tjan],CGVN,1,12
130,温,[wən],GVN,2,52
131,丹,[tan],CVN,5,121
132,汪,[waŋ],GVN,8,208
133,丹,[tan],CVN,2,40
134,贪,[tʰan],CVN,2,42
135,桑,[saŋ],CVN,8,213
136,挖,[wa],GV,5,111
137,孙,[wən],CGVN,8,215
138,般,[pan],CVN,4,92
139,关,[kwan],CGVN,1,17
140,般,[pan],CVN,3,65
141,关,[kwan],CGVN,6,152
142,椰,[je],GV,10,245
143,天,[tʰjan],CGVN,7,176
144,关,[kwan],CGVN,10,260
145,瓜,[kwa],CGV,4,85
146,瓜,[kwa],CGV,3,58
147,光,[kwaŋ],CGVN,5,128
148,窝,[wo],GV,5,114
149,湾,[uan],GVN,3,70
150,丹,[tan],CVN,7,175
151,箱,[ɕiɑŋ],CGVN,6,158
152,关,[kwan],CGVN,3,71
153,哥,[kɤ],CV,2,35
154,天,[tʰjan],CGVN,3,68
155,汪,[waŋ],GVN,4,100
156,温,[wən],GVN,1,25
157,森,[ən],CVN,5,135
158,天,[tʰjan],CGVN,4,95
159,丹,[tan],CVN,4,94
160,锅,[kwo],CGV,3,61
161,干,[kan],CVN,1,18
162,贪,[tʰan],CVN,6,150
163,箱,[ɕiɑŋ],CGVN,8,212
164,哥,[kɤ],CV,4,89
165,挖,[wa],GV,1,3
166,挖,[wa],GV,6,138
167,森,[ən],CVN,3,81
168,鸭,[ja] ,GV,8,190
169,关,[kwan],CGVN,5,125
170,关,[kwan],CGVN,4,98
171,森,[ən],CVN,7,189
172,汪,[waŋ],GVN,7,181
173,椰,[je],GV,9,218
174,贪,[tʰan],CVN,8,204
175,孙,[wən],CGVN,6,161
176,瓜,[kwa],CGV,6,139
177,挖,[wa],GV,8,192
178,窝,[wo],GV,4,87
179,瓜,[kwa],CGV,7,166
180,桑,[saŋ],CVN,4,105
181,湾,[uan],GVN,4,97
182,央,[iɑŋ],GVN,6,157
183,汪,[waŋ],GVN,10,262
184,鸭,[ja] ,GV,3,55
185,哥,[kɤ],CV,1,8
186,挖,[wa],GV,4,84
187,锅,[kwo],CGV,1,7
188,颠,[tjan],CGVN,2,39
189,鸭,[ja] ,GV,9,217
190,般,[pan],CVN,2,38
191,颠,[tjan],CGVN,3,66
192,般,[pan],CVN,10,254
193,咖,[ka],CV,2,32
194,温,[wən],GVN,4,106
195,孙,[wən],CGVN,3,80
196,哥,[kɤ],CV,6,143
197,刚,[kaŋ],CVN,2,48
198,锅,[kwo],CGV,2,34
199,桑,[saŋ],CVN,3,78
200,刚,[kaŋ],CVN,1,21
201,干,[kan],CVN,9,234
202,锅,[kwo],CGV,9,223
203,窝,[wo],GV,8,195
204,关,[kwan],CGVN,9,233
205,汪,[waŋ],GVN,6,154
206,箱,[ɕiɑŋ],CGVN,10,266
207,般,[pan],CVN,6,146
208,汪,[waŋ],GVN,2,46
209,刚,[kaŋ],CVN,10,264
210,桑,[saŋ],CVN,7,186
211,挖,[wa],GV,2,30
212,鸭,[ja] ,GV,7,163
213,湾,[uan],GVN,1,16
214,干,[kan],CVN,10,261
215,温,[wən],GVN,5,133
216,鸭,[ja] ,GV,1,1
217,烟,[jan],GVN,9,225
218,编,[pjan],CGVN,10,253
219,央,[iɑŋ],GVN,2,49
220,央,[iɑŋ],GVN,8,211
221,烟,[jan],GVN,1,9
222,烟,[jan],GVN,8,198
223,鸭,[ja] ,GV,6,136
224,烟,[jan],GVN,5,117
225,森,[ən],CVN,4,108
226,窝,[wo],GV,6,141
227,关,[kwan],CGVN,8,206
228,哥,[kɤ],CV,3,62
229,贪,[tʰan],CVN,7,177
230,湾,[uan],GVN,10,259
231,窝,[wo],GV,3,60
232,贪,[tʰan],CVN,10,258
233,桑,[saŋ],CVN,9,240
234,孙,[wən],CGVN,10,269
235,颠,[tjan],CGVN,9,228
236,颠,[tjan],CGVN,8,201
237,央,[iɑŋ],GVN,4,103
238,窝,[wo],GV,9,222
239,天,[tʰjan],CGVN,2,41
240,般,[pan],CVN,9,227
241,咖,[ka],CV,10,248
242,干,[kan],CVN,8,207
243,桑,[saŋ],CVN,6,159
244,湾,[uan],GVN,8,205
245,天,[tʰjan],CGVN,5,122
246,光,[kwaŋ],CGVN,10,263
247,丹,[tan],CVN,9,229
248,咖,[ka],CV,6,140
249,般,[pan],CVN,1,11
250,贪,[tʰan],CVN,4,96
251,哥,[kɤ],CV,10,251
252,丹,[tan],CVN,8,202
253,鸭,[ja] ,GV,10,244
254,颠,[tjan],CGVN,10,255
255,编,[pjan],CGVN,3,64
256,森,[ən],CVN,6,162
257,温,[wən],GVN,7,187
258,孙,[wən],CGVN,7,188
259,孙,[wən],CGVN,1,26
260,瓜,[kwa],CGV,5,112
261,瓜,[kwa],CGV,10,247
262,编,[pjan],CGVN,8,199
263,挖,[wa],GV,3,57
264,箱,[ɕiɑŋ],CGVN,1,23
265,央,[iɑŋ],GVN,9,238
266,刚,[kaŋ],CVN,5,129
267,般,[pan],CVN,7,173
268,锅,[kwo],CGV,6,142
269,颠,[tjan],CGVN,5,120
270,瓜,[kwa],CGV,8,193
